Address (dec),Address (hex),Device,Message,Message Abbreviation
0,0x0,,,
1,0x1,,,
2,0x2,,,
3,0x3,,,
4,0x4,,,
5,0x5,,,
6,0x6,,,
7,0x7,,,
8,0x8,,,
9,0x9,,,
10,0xA,,,
11,0xB,,,
12,0xC,,,
13,0xD,,,
14,0xE,,,
15,0xF,,,
16,0x10,,,
17,0x11,,,
18,0x12,,,
19,0x13,,,
20,0x14,,,
21,0x15,,,
22,0x16,,,
23,0x17,Front DAQ,RESET,
24,0x18,Front DAQ,PROG_SELECT,
25,0x19,Front DAQ,PROG_WRITE,
26,0x1A,Front DAQ,PROG_DONE,
27,0x1B,Front DAQ,PROG_ERROR,
28,0x1C,Front DAQ,DATA,DATA
29,0x1D,,,
30,0x1E,,,
31,0x1F,,,
32,0x20,,,
33,0x21,,,
34,0x22,Rear DAQ,RESET,
35,0x23,Rear DAQ,PROG_SELECT,
36,0x24,Rear DAQ,PROG_WRITE,
37,0x25,Rear DAQ,PROG_DONE,
38,0x26,Rear DAQ,PROG_ERROR,
39,0x27,Rear DAQ,DATA,DATA
40,0x28,,,
41,0x29,,,
42,0x2A,,,
43,0x2B,,,
44,0x2C,,,
45,0x2D,Pedal,RESET,
46,0x2E,Pedal,PROG_SELECT,
47,0x2F,Pedal,PROG_WRITE,
48,0x30,Pedal,PROG_DONE,
49,0x31,Pedal,PROG_ERROR,
50,0x32,Pedal,DATA,DATA
51,0x33,Pedal,GET_PEDAL,
52,0x34,Pedal,SET_PEDAL_BAND,
53,0x35,,,
54,0x36,,,
55,0x37,,,
56,0x38,TempMonitor1,RESET,
57,0x39,TempMonitor1,PROG_SELECT,
58,0x3A,TempMonitor1,PROG_WRITE,
59,0x3B,TempMonitor1,PROG_DONE,
60,0x3C,TempMonitor1,PROG_ERROR,
61,0x3D,TempMonitor1,Overall Status,S1
62,0x3E,TempMonitor1,Temps 0-3,T0
63,0x3F,TempMonitor1,Temps 4-7,T1
64,0x40,TempMonitor1,Temps 8-11,T2
65,0x41,TempMonitor1,Temps 12-15,T3
66,0x42,TempMonitor1,Temps 16-19,T4
67,0x43,TempMonitor1,Temps 20-23,T5
68,0x44,TempMonitor1,Temps 24-27,T6
69,0x45,TempMonitor1,Temps 28-31,T7
70,0x46,TempMonitor1,Temps 32-35,T8
71,0x47,TempMonitor1,Temps 36-39,T9
72,0x48,,,
73,0x49,,,
74,0x4A,,,
75,0x4B,,,
76,0x4C,,,
77,0x4D,TempMonitor2,RESET,
78,0x4E,TempMonitor2,PROG_SELECT,
79,0x4F,TempMonitor2,PROG_WRITE,
80,0x50,TempMonitor2,PROG_DONE,
81,0x51,TempMonitor2,PROG_ERROR,
82,0x52,TempMonitor2,Overall Status,S2
83,0x53,TempMonitor2,Temps 0-3,T10
84,0x54,TempMonitor2,Temps 4-7,T11
85,0x55,TempMonitor2,Temps 8-11,T12
86,0x56,TempMonitor2,Temps 12-15,T13
87,0x57,TempMonitor2,Temps 16-19,T14
88,0x58,TempMonitor2,Temps 20-23,T15
89,0x59,TempMonitor2,Temps 24-27,T16
90,0x5A,TempMonitor2,Temps 28-31,T17
91,0x5B,TempMonitor2,Temps 32-35,T18
92,0x5C,TempMonitor2,Temps 36-39,T19
93,0x5D,,,
94,0x5E,,,
95,0x5F,,,
96,0x60,,,
97,0x61,,,
98,0x62,interface-board,RESET,
99,0x63,interface-board,PROG_SELECT,
100,0x64,interface-board,PROG_WRITE,
101,0x65,interface-board,PROG_DONE,
102,0x66,interface-board,PROG_ERROR,
103,0x67,interface-board,Temps,
104,0x68,interface-board,Current/voltage,
105,0x69,interface-board,DC/DC fault,
106,0x6A,interface-board,test,
107,0x6B,,,
108,0x6C,,,
109,0x6D,,,
110,0x6E,,,
111,0x6F,dash,cooling enabled,
112,0x70,dash,,
113,0x71,dash,,
114,0x72,dash,,
115,0x73,,,
116,0x74,,,
117,0x75,,,
118,0x76,,,
119,0x77,,,
120,0x78,,,
121,0x79,,,
122,0x7A,,,
123,0x7B,,,
124,0x7C,,,
125,0x7D,,,
126,0x7E,,,
127,0x7F,,,
128,0x80,,,
129,0x81,,,
130,0x82,,,
131,0x83,,,
132,0x84,,,
133,0x85,,,
134,0x86,,,
135,0x87,,,
136,0x88,,,
137,0x89,,,
138,0x8A,,,
139,0x8B,,,
140,0x8C,,,
141,0x8D,,,
142,0x8E,,,
143,0x8F,,,
144,0x90,,,
145,0x91,,,
146,0x92,,,
147,0x93,,,
148,0x94,,,
149,0x95,,,
150,0x96,,,
151,0x97,,,
152,0x98,,,
153,0x99,,,
154,0x9A,,,
155,0x9B,,,
156,0x9C,,,
157,0x9D,,,
158,0x9E,,,
159,0x9F,,,
160,0xA0,Rinehart,Temp Set 1,T1
161,0xA1,Rinehart,Temp Set 2,T2
162,0xA2,Rinehart,Temp Set 3,T3
